antecedent,consequent,support,confidence,lift
bytes_per_packet_high AND proto_udp AND service_- AND state_con,outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium,0.017514,0.850928,34.852279
bytes_per_packet_high AND packet_asymmetry_low AND packet_rate_medium AND proto_udp,outbound_dominance_ratio_medium AND state_con,0.017514,0.995785,34.73282
packet_asymmetry_low AND proto_udp AND service_-,bytes_per_packet_high AND outbound_dominance_ratio_medium AND state_con,0.020201,0.959892,34.702753
bytes_per_packet_high AND outbound_dominance_ratio_medium AND state_con,packet_asymmetry_low AND proto_udp AND service_-,0.020201,0.730309,34.702753
bytes_per_packet_high AND packet_asymmetry_low AND proto_udp,outbound_dominance_ratio_medium AND service_- AND state_con,0.020201,0.978183,34.607658
outbound_dominance_ratio_medium AND service_- AND state_con,bytes_per_packet_high AND packet_asymmetry_low AND proto_udp,0.020201,0.714689,34.607658
packet_asymmetry_low AND packet_rate_medium AND proto_udp AND service_-,outbound_dominance_ratio_medium AND state_con,0.017514,0.991605,34.587025
outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium,bytes_per_packet_high AND proto_udp AND state_con,0.017514,0.717356,34.517529
bytes_per_packet_high AND proto_udp AND state_con,outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium,0.017514,0.842755,34.517529
bytes_per_packet_low AND outbound_dominance_ratio_medium AND proto_arp,packet_rate_low AND service_- AND state_int,0.015792,0.985409,34.432571
outbound_dominance_ratio_medium AND proto_arp,packet_rate_low AND service_- AND state_int,0.015792,0.985409,34.432571
bytes_per_packet_low AND outbound_dominance_ratio_medium AND proto_arp,packet_asymmetry_medium AND packet_rate_low AND service_- AND state_int,0.015792,0.985409,34.432571
outbound_dominance_ratio_medium AND proto_arp,packet_asymmetry_medium AND packet_rate_low AND service_- AND state_int,0.015792,0.985409,34.432571
outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium AND proto_udp,bytes_per_packet_high AND service_- AND state_con,0.017514,1.0,34.333464
outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp,bytes_per_packet_high AND service_- AND state_con,0.020201,1.0,34.333464
outbound_dominance_ratio_medium AND state_con,bytes_per_packet_high AND packet_asymmetry_low AND proto_udp AND service_-,0.020201,0.704595,34.298841
bytes_per_packet_high AND packet_asymmetry_low AND proto_udp AND service_-,outbound_dominance_ratio_medium AND state_con,0.020201,0.983343,34.298841
bytes_per_packet_high AND packet_asymmetry_low AND proto_udp,outbound_dominance_ratio_medium AND state_con,0.020201,0.978183,34.118869
outbound_dominance_ratio_medium AND state_con,bytes_per_packet_high AND packet_asymmetry_low AND proto_udp,0.020201,0.704595,34.118869
proto_udp AND service_- AND state_con,bytes_per_packet_high AND outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium,0.017514,0.824872,33.848339
bytes_per_packet_high AND outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium,proto_udp AND service_- AND state_con,0.017514,0.718699,33.848339
bytes_per_packet_low AND packet_asymmetry_medium AND proto_arp,packet_rate_low AND state_int,0.015792,1.0,33.84308
bytes_per_packet_low AND packet_asymmetry_medium AND proto_arp AND service_-,packet_rate_low AND state_int,0.015792,1.0,33.84308
packet_asymmetry_medium AND proto_arp AND service_-,packet_rate_low AND state_int,0.015792,1.0,33.84308
bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp AND service_-,packet_rate_low AND state_int,0.015792,1.0,33.84308
bytes_per_packet_low AND packet_asymmetry_medium AND proto_arp AND service_-,outbound_dominance_ratio_medium AND packet_rate_low AND state_int,0.015792,1.0,33.84308
packet_asymmetry_medium AND proto_arp,outbound_dominance_ratio_medium AND packet_rate_low AND state_int,0.015792,1.0,33.84308
packet_asymmetry_medium AND proto_arp,packet_rate_low AND state_int,0.015792,1.0,33.84308
bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp,packet_rate_low AND state_int,0.015792,1.0,33.84308
bytes_per_packet_low AND packet_asymmetry_medium AND proto_arp,outbound_dominance_ratio_medium AND packet_rate_low AND state_int,0.015792,1.0,33.84308
packet_asymmetry_medium AND proto_arp AND service_-,outbound_dominance_ratio_medium AND packet_rate_low AND state_int,0.015792,1.0,33.84308
outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp,packet_rate_low AND state_int,0.015792,1.0,33.84308
outbound_dominance_ratio_medium AND packet_asymmetry_medium AND proto_arp AND service_-,packet_rate_low AND state_int,0.015792,1.0,33.84308
bytes_per_packet_low AND proto_arp,outbound_dominance_ratio_medium AND packet_rate_low AND service_- AND state_int,0.015792,0.96852,33.842436
bytes_per_packet_low AND proto_arp,packet_rate_low AND service_- AND state_int,0.015792,0.96852,33.842436
proto_arp,packet_asymmetry_medium AND packet_rate_low AND service_- AND state_int,0.015792,0.96852,33.842436
proto_arp,outbound_dominance_ratio_medium AND packet_rate_low AND service_- AND state_int,0.015792,0.96852,33.842436
bytes_per_packet_low AND proto_arp,outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low AND service_- AND state_int,0.015792,0.96852,33.842436
proto_arp,outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low AND service_- AND state_int,0.015792,0.96852,33.842436
bytes_per_packet_low AND proto_arp,packet_asymmetry_medium AND packet_rate_low AND service_- AND state_int,0.015792,0.96852,33.842436
proto_arp,packet_rate_low AND service_- AND state_int,0.015792,0.96852,33.842436
outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium,proto_udp AND service_- AND state_con,0.017514,0.717356,33.785086
proto_udp AND service_- AND state_con,outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium,0.017514,0.824872,33.785086
outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium AND proto_udp AND service_-,bytes_per_packet_high AND state_con,0.017514,1.0,33.751877
outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium AND proto_udp,bytes_per_packet_high AND state_con,0.017514,1.0,33.751877
outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp AND service_-,bytes_per_packet_high AND state_con,0.020201,1.0,33.751877
outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp,bytes_per_packet_high AND state_con,0.020201,1.0,33.751877
packet_asymmetry_low AND packet_rate_medium AND proto_udp AND service_-,bytes_per_packet_high AND state_con,0.017526,0.992251,33.490319
packet_asymmetry_low AND proto_udp AND service_-,outbound_dominance_ratio_medium AND state_con,0.020201,0.959892,33.480874
outbound_dominance_ratio_medium AND state_con,packet_asymmetry_low AND proto_udp AND service_-,0.020201,0.704595,33.480874
outbound_dominance_ratio_medium AND proto_arp AND service_-,packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.985409,33.349285
outbound_dominance_ratio_medium AND proto_arp,packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.985409,33.349285
bytes_per_packet_low AND outbound_dominance_ratio_medium AND proto_arp AND service_-,packet_rate_low AND state_int,0.015792,0.985409,33.349285
outbound_dominance_ratio_medium AND proto_arp AND service_-,packet_rate_low AND state_int,0.015792,0.985409,33.349285
bytes_per_packet_low AND outbound_dominance_ratio_medium AND proto_arp AND service_-,packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.985409,33.349285
bytes_per_packet_low AND outbound_dominance_ratio_medium AND proto_arp,packet_rate_low AND state_int,0.015792,0.985409,33.349285
bytes_per_packet_low AND outbound_dominance_ratio_medium AND proto_arp,packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.985409,33.349285
outbound_dominance_ratio_medium AND proto_arp,packet_rate_low AND state_int,0.015792,0.985409,33.349285
packet_asymmetry_low AND proto_udp AND service_-,bytes_per_packet_high AND state_con,0.020543,0.976152,32.946954
proto_arp,outbound_dominance_ratio_medium AND packet_rate_low AND state_int,0.015792,0.96852,32.777716
bytes_per_packet_low AND proto_arp AND service_-,packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.96852,32.777716
proto_arp,packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.96852,32.777716
bytes_per_packet_low AND proto_arp,outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.96852,32.777716
proto_arp AND service_-,outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.96852,32.777716
proto_arp,outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.96852,32.777716
bytes_per_packet_low AND proto_arp,packet_rate_low AND state_int,0.015792,0.96852,32.777716
bytes_per_packet_low AND proto_arp AND service_-,packet_rate_low AND state_int,0.015792,0.96852,32.777716
proto_arp AND service_-,packet_rate_low AND state_int,0.015792,0.96852,32.777716
bytes_per_packet_low AND proto_arp AND service_-,outbound_dominance_ratio_medium AND packet_rate_low AND state_int,0.015792,0.96852,32.777716
bytes_per_packet_low AND proto_arp AND service_-,outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.96852,32.777716
proto_arp AND service_-,packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.96852,32.777716
bytes_per_packet_low AND proto_arp,packet_asymmetry_medium AND packet_rate_low AND state_int,0.015792,0.96852,32.777716
proto_arp,packet_rate_low AND state_int,0.015792,0.96852,32.777716
bytes_per_packet_low AND proto_arp,outbound_dominance_ratio_medium AND packet_rate_low AND state_int,0.015792,0.96852,32.777716
proto_arp AND service_-,outbound_dominance_ratio_medium AND packet_rate_low AND state_int,0.015792,0.96852,32.777716
bytes_per_packet_high AND outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp,service_- AND state_con,0.020201,1.0,32.225878
outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium AND proto_udp,service_- AND state_con,0.017514,1.0,32.225878
outbound_dominance_ratio_medium AND packet_asymmetry_low AND proto_udp,service_- AND state_con,0.020201,1.0,32.225878
bytes_per_packet_high AND outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium AND proto_udp,service_- AND state_con,0.017514,1.0,32.225878
bytes_per_packet_high AND packet_asymmetry_low AND packet_rate_medium AND proto_udp,service_- AND state_con,0.017526,0.996433,32.110934
bytes_per_packet_high AND packet_asymmetry_low AND proto_udp,service_- AND state_con,0.020543,0.994753,32.056783
outbound_dominance_ratio_medium AND proto_udp AND state_con,bytes_per_packet_high AND packet_asymmetry_low AND packet_rate_medium AND service_-,0.017514,0.855909,31.741935
outbound_dominance_ratio_medium AND packet_asymmetry_low AND packet_rate_medium AND service_-,bytes_per_packet_high AND state_con,0.017514,0.881964,29.767953
proto_arp AND state_int,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_asymmetry_medium AND packet_rate_low AND service_-,0.015792,1.0,28.594423
packet_asymmetry_medium AND proto_arp,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND service_-,0.015792,1.0,28.441363
packet_asymmetry_medium AND proto_arp AND state_int,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND service_-,0.015792,1.0,28.441363
proto_arp AND state_int,bytes_per_packet_low AND outbound_dominance_ratio_medium AND packet_rate_low AND service_-,0.015792,1.0,28.441363
